"","Var1","Var2","Freq","Host","Site","HS","Family","Trophic","Genus"
"22","B3-JM3r-2-2621806","OTU283",1,"Juniperus","mixed","Juniperusmixed","f__ Acaulosporaceae","a__am","g__"
"28","B8-JM1r-2-2621846","OTU442",1,"Juniperus","mixed","Juniperusmixed","f__","a__am","g__"
"46","B3-JM3r-2-2621806","OTU442",1,"Juniperus","mixed","Juniperusmixed","f__","a__am","g__"
"49","A8-JM2r-2-2621845","OTU689",1,"Juniperus","mixed","Juniperusmixed","f__","a__am","g__"
"51","A10-QM6r-2-2621911","OTU689",1,"Quercus","mixed","Quercusmixed","f__","a__am","g__"
"52","B8-JM1r-2-2621846","OTU689",1,"Juniperus","mixed","Juniperusmixed","f__","a__am","g__"
"54","B10-QM5r-2-2621912","OTU689",1,"Quercus","mixed","Quercusmixed","f__","a__am","g__"
"56","C10-QM4r-2-2621913","OTU689",1,"Quercus","mixed","Quercusmixed","f__","a__am","g__"
"57","D8-J5r-2-2621848","OTU689",1,"Juniperus","perturbated","Juniperusperturbated","f__","a__am","g__"
"58","D9-Q1r-2-2621906","OTU689",1,"Quercus","native","Quercusnative","f__","a__am","g__"
"60","E8-J4r-2-2621849","OTU689",1,"Juniperus","perturbated","Juniperusperturbated","f__","a__am","g__"
"65","G8-J2r-2-2621901","OTU689",1,"Juniperus","perturbated","Juniperusperturbated","f__","a__am","g__"
"67","H8-J1r-2-2621902","OTU689",1,"Juniperus","perturbated","Juniperusperturbated","f__","a__am","g__"
"69","A3-J6r-2-2621805","OTU689",1,"Juniperus","perturbated","Juniperusperturbated","f__","a__am","g__"
"70","B3-JM3r-2-2621806","OTU689",1,"Juniperus","mixed","Juniperusmixed","f__","a__am","g__"
"71","C3-JM4r-2-2621807","OTU689",1,"Juniperus","mixed","Juniperusmixed","f__","a__am","g__"
"72","D3-JM6r-2-2621808","OTU689",1,"Juniperus","mixed","Juniperusmixed","f__","a__am","g__"
"84","E8-J4r-2-2621849","OTU693",1,"Juniperus","perturbated","Juniperusperturbated","f__ Glomeraceae","a__am","g__"
"97","A8-JM2r-2-2621845","OTU732",1,"Juniperus","mixed","Juniperusmixed","f__ Glomeraceae","a__am","g__"
"100","B8-JM1r-2-2621846","OTU732",1,"Juniperus","mixed","Juniperusmixed","f__ Glomeraceae","a__am","g__"
"124","B8-JM1r-2-2621846","OTU767",1,"Juniperus","mixed","Juniperusmixed","f__ Glomeraceae","a__am","g__"
"132","E8-J4r-2-2621849","OTU767",1,"Juniperus","perturbated","Juniperusperturbated","f__ Glomeraceae","a__am","g__"
"139","H8-J1r-2-2621902","OTU767",1,"Juniperus","perturbated","Juniperusperturbated","f__ Glomeraceae","a__am","g__"
"161","G8-J2r-2-2621901","OTU955",1,"Juniperus","perturbated","Juniperusperturbated","f__","a__am","g__"
"163","H8-J1r-2-2621902","OTU955",1,"Juniperus","perturbated","Juniperusperturbated","f__","a__am","g__"
"166","B3-JM3r-2-2621806","OTU955",1,"Juniperus","mixed","Juniperusmixed","f__","a__am","g__"
"180","E8-J4r-2-2621849","OTU962",1,"Juniperus","perturbated","Juniperusperturbated","f__ Glomeraceae","a__am","g__"
"191","C3-JM4r-2-2621807","OTU962",1,"Juniperus","mixed","Juniperusmixed","f__ Glomeraceae","a__am","g__"
"192","D3-JM6r-2-2621808","OTU962",1,"Juniperus","mixed","Juniperusmixed","f__ Glomeraceae","a__am","g__"
"201","D8-J5r-2-2621848","OTU991",1,"Juniperus","perturbated","Juniperusperturbated","f__ Glomeraceae","a__am","g__"
"205","E9-JM5r-2-2621907","OTU991",1,"Juniperus","mixed","Juniperusmixed","f__ Glomeraceae","a__am","g__"
"207","F8-J3r-2-2621850","OTU991",1,"Juniperus","perturbated","Juniperusperturbated","f__ Glomeraceae","a__am","g__"
"215","C3-JM4r-2-2621807","OTU991",1,"Juniperus","mixed","Juniperusmixed","f__ Glomeraceae","a__am","g__"
"233","G8-J2r-2-2621901","OTU1030",1,"Juniperus","perturbated","Juniperusperturbated","f__ Glomeraceae","a__am","g__ Glomus"
"239","C3-JM4r-2-2621807","OTU1030",1,"Juniperus","mixed","Juniperusmixed","f__ Glomeraceae","a__am","g__ Glomus"
"252","E8-J4r-2-2621849","OTU1099",1,"Juniperus","perturbated","Juniperusperturbated","f__ Glomeraceae","a__am","g__ Glomus"
"257","G8-J2r-2-2621901","OTU1099",1,"Juniperus","perturbated","Juniperusperturbated","f__ Glomeraceae","a__am","g__ Glomus"
"262","B3-JM3r-2-2621806","OTU1099",1,"Juniperus","mixed","Juniperusmixed","f__ Glomeraceae","a__am","g__ Glomus"
"268","B8-JM1r-2-2621846","OTU1106",1,"Juniperus","mixed","Juniperusmixed","f__ Glomeraceae","a__am","g__"
"283","H8-J1r-2-2621902","OTU1106",1,"Juniperus","perturbated","Juniperusperturbated","f__ Glomeraceae","a__am","g__"
"300","E8-J4r-2-2621849","OTU1117",1,"Juniperus","perturbated","Juniperusperturbated","f__ Glomeraceae","a__am","g__"
"311","C3-JM4r-2-2621807","OTU1117",1,"Juniperus","mixed","Juniperusmixed","f__ Glomeraceae","a__am","g__"
"321","D8-J5r-2-2621848","OTU1170",1,"Juniperus","perturbated","Juniperusperturbated","f__ Glomeraceae","a__am","g__"
"336","D3-JM6r-2-2621808","OTU1170",1,"Juniperus","mixed","Juniperusmixed","f__ Glomeraceae","a__am","g__"
"351","F8-J3r-2-2621850","OTU1204",1,"Juniperus","perturbated","Juniperusperturbated","f__ Glomeraceae","a__am","g__ Rhizophagus"
"372","E8-J4r-2-2621849","OTU1207",1,"Juniperus","perturbated","Juniperusperturbated","f__ Gigasporaceae","a__am","g__"
