"","Myc","Trophic","Domain","Phylum","Class","Order","Family","Genus","Species"
"OTU283","t__myc","a__am","k__Fungi","p__ Glomeromycota","c__ Glomeromycetes","o__ Diversisporales","f__ Acaulosporaceae","g__","s__"
"OTU442","t__myc","a__am","k__Fungi","p__ Glomeromycota","c__ Glomeromycetes","o__ Diversisporales","f__","g__","s__"
"OTU689","t__myc","a__am","k__Fungi","p__ Glomeromycota","c__ Glomeromycetes","o__ Gigasporales","f__","g__","s__"
"OTU693","t__myc","a__am","k__Fungi","p__ Glomeromycota","c__ Glomeromycetes","o__ Glomerales","f__ Glomeraceae","g__","s__"
"OTU732","t__myc","a__am","k__Fungi","p__ Glomeromycota","c__ Glomeromycetes","o__ Glomerales","f__ Glomeraceae","g__","s__"
"OTU767","t__myc","a__am","k__Fungi","p__ Glomeromycota","c__ Glomeromycetes","o__ Glomerales","f__ Glomeraceae","g__","s__"
"OTU955","t__myc","a__am","k__Fungi","p__ Glomeromycota","c__","o__","f__","g__","s__"
"OTU962","t__myc","a__am","k__Fungi","p__ Glomeromycota","c__ Glomeromycetes","o__ Glomerales","f__ Glomeraceae","g__","s__"
"OTU991","t__myc","a__am","k__Fungi","p__ Glomeromycota","c__ Glomeromycetes","o__ Glomerales","f__ Glomeraceae","g__","s__"
"OTU1030","t__myc","a__am","k__Fungi","p__ Glomeromycota","c__ Glomeromycetes","o__ Glomerales","f__ Glomeraceae","g__ Glomus","s__"
"OTU1099","t__myc","a__am","k__Fungi","p__ Glomeromycota","c__ Glomeromycetes","o__ Glomerales","f__ Glomeraceae","g__ Glomus","s__"
"OTU1106","t__myc","a__am","k__Fungi","p__ Glomeromycota","c__ Glomeromycetes","o__ Glomerales","f__ Glomeraceae","g__","s__"
"OTU1117","t__myc","a__am","k__Fungi","p__ Glomeromycota","c__ Glomeromycetes","o__ Glomerales","f__ Glomeraceae","g__","s__"
"OTU1170","t__myc","a__am","k__Fungi","p__ Glomeromycota","c__ Glomeromycetes","o__ Glomerales","f__ Glomeraceae","g__","s__"
"OTU1204","t__myc","a__am","k__Fungi","p__ Glomeromycota","c__ Glomeromycetes","o__ Glomerales","f__ Glomeraceae","g__ Rhizophagus","s__ Rhizophagus prolifer"
"OTU1207","t__myc","a__am","k__Fungi","p__ Glomeromycota","c__ Glomeromycetes","o__ Gigasporales","f__ Gigasporaceae","g__","s__"
"OTU1266","t__myc","a__am","k__Fungi","p__ Glomeromycota","c__ Glomeromycetes","o__ Glomerales","f__ Glomeraceae","g__","s__"
"OTU1271","t__myc","a__am","k__Fungi","p__ Glomeromycota","c__ Glomeromycetes","o__ Glomerales","f__ Glomeraceae","g__","s__"
"OTU1281","t__myc","a__am","k__Fungi","p__ Glomeromycota","c__ Glomeromycetes","o__ Glomerales","f__ Glomeraceae","g__","s__"
"OTU1285","t__myc","a__am","k__Fungi","p__ Glomeromycota","c__","o__","f__","g__","s__"
"OTU1300","t__myc","a__am","k__Fungi","p__ Glomeromycota","c__ Glomeromycetes","o__ Glomerales","f__ Glomeraceae","g__","s__"
"OTU1308","t__myc","a__am","k__Fungi","p__ Glomeromycota","c__ Glomeromycetes","o__ Glomerales","f__ Glomeraceae","g__","s__"
"OTU1369","t__myc","a__am","k__Fungi","p__ Glomeromycota","c__ Glomeromycetes","o__ Glomerales","f__ Claroideoglomeraceae","g__","s__"
"OTU1451","t__myc","a__am","k__Fungi","p__ Glomeromycota","c__ Glomeromycetes","o__ Glomerales","f__ Glomeraceae","g__ Dominikia","s__ Dominikia iranica"
"OTU1484","t__myc","a__am","k__Fungi","p__ Glomeromycota","c__ Glomeromycetes","o__ Gigasporales","f__ Gigasporaceae","g__ Gigaspora","s__ Gigaspora margarita"
"OTU1512","t__myc","a__am","k__Fungi","p__ Glomeromycota","c__ Glomeromycetes","o__ Glomerales","f__","g__","s__"
"OTU1518","t__myc","a__am","k__Fungi","p__ Glomeromycota","c__ Glomeromycetes","o__ Glomerales","f__ Glomeraceae","g__ Glomus","s__"
"OTU1533","t__myc","a__am","k__Fungi","p__ Glomeromycota","c__ Glomeromycetes","o__ Glomerales","f__ Glomeraceae","g__","s__"
"OTU1578","t__myc","a__am","k__Fungi","p__ Glomeromycota","c__ Glomeromycetes","o__ Glomerales","f__ Glomeraceae","g__","s__"
"OTU1581","t__myc","a__am","k__Fungi","p__ Glomeromycota","c__ Glomeromycetes","o__ Glomerales","f__","g__","s__"
"OTU1601","t__myc","a__am","k__Fungi","p__ Glomeromycota","c__","o__","f__","g__","s__"
"OTU1616","t__myc","a__am","k__Fungi","p__ Glomeromycota","c__ Glomeromycetes","o__ Glomerales","f__ Glomeraceae","g__","s__"
"OTU1647","t__myc","a__am","k__Fungi","p__ Glomeromycota","c__ Glomeromycetes","o__ Glomerales","f__ Glomeraceae","g__","s__"
"OTU1664","t__myc","a__am","k__Fungi","p__ Glomeromycota","c__ Glomeromycetes","o__ Glomerales","f__ Glomeraceae","g__ Glomus","s__"
"OTU1668","t__myc","a__am","k__Fungi","p__ Glomeromycota","c__ Archaeosporomycetes","o__ Archaeosporales","f__ Ambisporaceae","g__ Ambispora","s__"
"OTU1683","t__myc","a__am","k__Fungi","p__ Glomeromycota","c__ Glomeromycetes","o__ Glomerales","f__ Claroideoglomeraceae","g__ Claroideoglomus","s__"
"OTU1684","t__myc","a__am","k__Fungi","p__ Glomeromycota","c__ Glomeromycetes","o__ Glomerales","f__ Glomeraceae","g__","s__"
"OTU1767","t__myc","a__am","k__Fungi","p__ Glomeromycota","c__ Glomeromycetes","o__ Glomerales","f__ Glomeraceae","g__","s__"
"OTU1840","t__myc","a__am","k__Fungi","p__ Glomeromycota","c__ Glomeromycetes","o__ Glomerales","f__","g__","s__"
"OTU1877","t__myc","a__am","k__Fungi","p__ Glomeromycota","c__ Glomeromycetes","o__ Glomerales","f__ Glomeraceae","g__","s__"
"OTU1899","t__myc","a__am","k__Fungi","p__ Glomeromycota","c__ Glomeromycetes","o__ Glomerales","f__ Glomeraceae","g__","s__"
"OTU1930","t__myc","a__am","k__Fungi","p__ Glomeromycota","c__ Glomeromycetes","o__ Glomerales","f__ Glomeraceae","g__","s__"
"OTU1952","t__myc","a__am","k__Fungi","p__ Glomeromycota","c__ Glomeromycetes","o__ Glomerales","f__","g__","s__"
"OTU1967","t__myc","a__am","k__Fungi","p__ Glomeromycota","c__ Glomeromycetes","o__ Glomerales","f__ Claroideoglomeraceae","g__ Claroideoglomus","s__"
"OTU2248","t__myc","a__am","k__Fungi","p__ Glomeromycota","c__ Glomeromycetes","o__ Glomerales","f__","g__","s__"
"OTU2254","t__myc","a__am","k__Fungi","p__ Glomeromycota","c__ Glomeromycetes","o__ Glomerales","f__ Glomeraceae","g__","s__"
"OTU2259","t__myc","a__am","k__Fungi","p__ Glomeromycota","c__","o__","f__","g__","s__"
"OTU2269","t__myc","a__am","k__Fungi","p__ Glomeromycota","c__ Glomeromycetes","o__ Glomerales","f__ Glomeraceae","g__ Rhizophagus","s__"
"OTU2328","t__myc","a__am","k__Fungi","p__ Glomeromycota","c__ Glomeromycetes","o__ Glomerales","f__ Claroideoglomeraceae","g__ Claroideoglomus","s__"
"OTU2405","t__myc","a__am","k__Fungi","p__ Glomeromycota","c__ Glomeromycetes","o__ Glomerales","f__ Glomeraceae","g__","s__"
"OTU2420","t__myc","a__am","k__Fungi","p__ Glomeromycota","c__ Glomeromycetes","o__ Glomerales","f__ Glomeraceae","g__","s__"
"OTU2447","t__myc","a__am","k__Fungi","p__ Glomeromycota","c__ Glomeromycetes","o__ Diversisporales","f__ Acaulosporaceae","g__ Acaulospora","s__"
"OTU2473","t__myc","a__am","k__Fungi","p__ Glomeromycota","c__ Glomeromycetes","o__ Glomerales","f__ Glomeraceae","g__ Kamienskia","s__"
"OTU2502","t__myc","a__am","k__Fungi","p__ Glomeromycota","c__","o__","f__","g__","s__"
"OTU2548","t__myc","a__am","k__Fungi","p__ Glomeromycota","c__ Glomeromycetes","o__ Glomerales","f__","g__","s__"
"OTU2551","t__myc","a__am","k__Fungi","p__ Glomeromycota","c__ Glomeromycetes","o__ Glomerales","f__ Glomeraceae","g__ Glomus","s__"
"OTU2562","t__myc","a__am","k__Fungi","p__ Glomeromycota","c__ Glomeromycetes","o__ Diversisporales","f__","g__","s__"
"OTU2564","t__myc","a__am","k__Fungi","p__ Glomeromycota","c__ Glomeromycetes","o__ Glomerales","f__ Claroideoglomeraceae","g__ Claroideoglomus","s__"
"OTU2582","t__myc","a__am","k__Fungi","p__ Glomeromycota","c__ Glomeromycetes","o__ Glomerales","f__ Glomeraceae","g__","s__"
"OTU2597","t__myc","a__am","k__Fungi","p__ Glomeromycota","c__ Glomeromycetes","o__ Glomerales","f__ Glomeraceae","g__","s__"
"OTU2756","t__myc","a__am","k__Fungi","p__ Glomeromycota","c__ Glomeromycetes","o__ Glomerales","f__ Glomeraceae","g__","s__"
"OTU2762","t__myc","a__am","k__Fungi","p__ Glomeromycota","c__ Glomeromycetes","o__ Glomerales","f__","g__","s__"
"OTU2765","t__myc","a__am","k__Fungi","p__ Glomeromycota","c__ Glomeromycetes","o__ Glomerales","f__ Claroideoglomeraceae","g__ Claroideoglomus","s__"
"OTU2770","t__myc","a__am","k__Fungi","p__ Glomeromycota","c__ Glomeromycetes","o__ Glomerales","f__ Glomeraceae","g__ Glomus","s__"
"OTU2779","t__myc","a__am","k__Fungi","p__ Glomeromycota","c__ Glomeromycetes","o__ Glomerales","f__","g__","s__"
"OTU3027","t__myc","a__am","k__Fungi","p__ Glomeromycota","c__ Glomeromycetes","o__ Glomerales","f__","g__","s__"
"OTU3082","t__myc","a__am","k__Fungi","p__ Glomeromycota","c__ Glomeromycetes","o__ Glomerales","f__ Claroideoglomeraceae","g__ Claroideoglomus","s__"
