"","Var1","Var2","Freq","Host","Site"
"1","A8-JM2r-2-2621845","OTU283",0,"Juniperus","mixed"
"2","A9-Q4r-2-2621903","OTU283",0,"Quercus","native"
"3","A10-QM6r-2-2621911","OTU283",0,"Quercus","mixed"
"4","B8-JM1r-2-2621846","OTU283",0,"Juniperus","mixed"
"5","B9-Q3r-2-2621904","OTU283",0,"Quercus","native"
"6","B10-QM5r-2-2621912","OTU283",0,"Quercus","mixed"
"7","C9-Q2r-2-2621905","OTU283",0,"Quercus","native"
"8","C10-QM4r-2-2621913","OTU283",0,"Quercus","mixed"
"9","D8-J5r-2-2621848","OTU283",0,"Juniperus","perturbated"
"10","D9-Q1r-2-2621906","OTU283",0,"Quercus","native"
"11","D10-QM3r-2-2621914","OTU283",0,"Quercus","mixed"
"12","E8-J4r-2-2621849","OTU283",0,"Juniperus","perturbated"
"13","E9-JM5r-2-2621907","OTU283",0,"Juniperus","mixed"
"14","E10-QM2r-2-2621915","OTU283",0,"Quercus","mixed"
"15","F8-J3r-2-2621850","OTU283",0,"Juniperus","perturbated"
"16","F10-QM1r-2-2621916","OTU283",0,"Quercus","mixed"
"17","G8-J2r-2-2621901","OTU283",0,"Juniperus","perturbated"
"18","G10-Q6r-2-2621917","OTU283",0,"Quercus","native"
"19","H8-J1r-2-2621902","OTU283",0,"Juniperus","perturbated"
"20","H10-Q5r-2-2621918","OTU283",0,"Quercus","native"
"21","A3-J6r-2-2621805","OTU283",0,"Juniperus","perturbated"
"22","B3-JM3r-2-2621806","OTU283",1,"Juniperus","mixed"
"23","C3-JM4r-2-2621807","OTU283",0,"Juniperus","mixed"
"24","D3-JM6r-2-2621808","OTU283",0,"Juniperus","mixed"
"25","A8-JM2r-2-2621845","OTU442",0,"Juniperus","mixed"
"26","A9-Q4r-2-2621903","OTU442",0,"Quercus","native"
"27","A10-QM6r-2-2621911","OTU442",0,"Quercus","mixed"
"28","B8-JM1r-2-2621846","OTU442",1,"Juniperus","mixed"
"29","B9-Q3r-2-2621904","OTU442",0,"Quercus","native"
"30","B10-QM5r-2-2621912","OTU442",0,"Quercus","mixed"
"31","C9-Q2r-2-2621905","OTU442",0,"Quercus","native"
"32","C10-QM4r-2-2621913","OTU442",0,"Quercus","mixed"
"33","D8-J5r-2-2621848","OTU442",0,"Juniperus","perturbated"
"34","D9-Q1r-2-2621906","OTU442",0,"Quercus","native"
"35","D10-QM3r-2-2621914","OTU442",0,"Quercus","mixed"
"36","E8-J4r-2-2621849","OTU442",0,"Juniperus","perturbated"
"37","E9-JM5r-2-2621907","OTU442",0,"Juniperus","mixed"
"38","E10-QM2r-2-2621915","OTU442",0,"Quercus","mixed"
"39","F8-J3r-2-2621850","OTU442",0,"Juniperus","perturbated"
"40","F10-QM1r-2-2621916","OTU442",0,"Quercus","mixed"
"41","G8-J2r-2-2621901","OTU442",0,"Juniperus","perturbated"
"42","G10-Q6r-2-2621917","OTU442",0,"Quercus","native"
"43","H8-J1r-2-2621902","OTU442",0,"Juniperus","perturbated"
"44","H10-Q5r-2-2621918","OTU442",0,"Quercus","native"
"45","A3-J6r-2-2621805","OTU442",0,"Juniperus","perturbated"
"46","B3-JM3r-2-2621806","OTU442",1,"Juniperus","mixed"
"47","C3-JM4r-2-2621807","OTU442",0,"Juniperus","mixed"
"48","D3-JM6r-2-2621808","OTU442",0,"Juniperus","mixed"
"49","A8-JM2r-2-2621845","OTU689",1,"Juniperus","mixed"
"50","A9-Q4r-2-2621903","OTU689",0,"Quercus","native"
"51","A10-QM6r-2-2621911","OTU689",1,"Quercus","mixed"
"52","B8-JM1r-2-2621846","OTU689",1,"Juniperus","mixed"
"53","B9-Q3r-2-2621904","OTU689",0,"Quercus","native"
"54","B10-QM5r-2-2621912","OTU689",1,"Quercus","mixed"
"55","C9-Q2r-2-2621905","OTU689",0,"Quercus","native"
"56","C10-QM4r-2-2621913","OTU689",1,"Quercus","mixed"
"57","D8-J5r-2-2621848","OTU689",1,"Juniperus","perturbated"
"58","D9-Q1r-2-2621906","OTU689",1,"Quercus","native"
"59","D10-QM3r-2-2621914","OTU689",0,"Quercus","mixed"
"60","E8-J4r-2-2621849","OTU689",1,"Juniperus","perturbated"
"61","E9-JM5r-2-2621907","OTU689",0,"Juniperus","mixed"
"62","E10-QM2r-2-2621915","OTU689",0,"Quercus","mixed"
"63","F8-J3r-2-2621850","OTU689",0,"Juniperus","perturbated"
"64","F10-QM1r-2-2621916","OTU689",0,"Quercus","mixed"
"65","G8-J2r-2-2621901","OTU689",1,"Juniperus","perturbated"
"66","G10-Q6r-2-2621917","OTU689",0,"Quercus","native"
"67","H8-J1r-2-2621902","OTU689",1,"Juniperus","perturbated"
"68","H10-Q5r-2-2621918","OTU689",0,"Quercus","native"
"69","A3-J6r-2-2621805","OTU689",1,"Juniperus","perturbated"
"70","B3-JM3r-2-2621806","OTU689",1,"Juniperus","mixed"
