,pH,Pdis,Ca,Mg,K,Na,H,Al,SoilM,CN,Site
A12-QM6s-2-2621927,6.25,6.28,14.85,6.01,1.31,0.07,0.2,0.01,17.6,14.96,Qmix
B12-QM2s-2-2621928,6.65,3.72,14.55,6.34,2.12,0.14,0.1,0.06,25.6,16.85,Qmix
H11-J3s-2-2621926,7.1,1.41,13.92,8.35,1.57,0.51,0.1,0,26.7,19,Jdist
E3-J1s-2-2621809,5.9,3.17,7.52,2.82,0.18,0.08,0.15,0.01,11.5,13.3,Jdist
F3-J5s-2-2621810,6.5,3.36,10.47,8.23,1.36,0.19,0.13,0,25.3,16.7,Jdist
F9-QM1s-2-2621908,6.1,5.41,18.53,6.28,1.87,0.08,0.2,0.03,27,19.69,Qmix
G3-JM1s-2-2621811,5.75,3.21,12.37,4.71,1.31,0.1,0.28,0,26.6,20.58,Jmix
A1-JM2s-2-2621739,5.5,2.93,5.52,3.27,0.78,0.07,0.55,0.15,21.5,23.75,Jmix
F2-Q3s-2-2621802,6,6.68,12.48,6.49,2.22,0.1,0.35,0.07,30.7,14.03,Qnat
G2-Q1s-2-2621803,6.5,25,19.59,5.96,2.93,0.07,0.3,0.06,32,12.54,Qnat
H2-JM6s-2-2621804,5.85,3.5,11.34,5.15,1.31,0.06,0.25,0.04,22.8,19.44,Jmix
H12-Q6s-2-2621934,6.4,12.38,16.51,6.86,1.77,0.09,0.25,0.04,31.8,14.96,Qnat
