"","Myc","Trophic","Domain","Phylum","Class","Order","Family","Genus","Species"
"OTU3","t__myc","a__ecm","k__Fungi","p__ Basidiomycota","c__ Agaricomycetes","o__ Sebacinales","f__ Sebacinaceae","g__ Sebacina","s__"
"OTU4","t__myc","a__ecm","k__Fungi","p__ Basidiomycota","c__ Agaricomycetes","o__ Thelephorales","f__ Thelephoraceae","g__","s__"
"OTU6","t__myc","a__ecm","k__Fungi","p__ Basidiomycota","c__ Agaricomycetes","o__ Russulales","f__ Russulaceae","g__ Russula","s__"
"OTU7","t__myc","a__ecm","k__Fungi","p__ Ascomycota","c__ Dothideomycetes","o__ Mytilinidales","f__ Gloniaceae","g__ Cenococcum","s__ Cenococcum geophilum"
"OTU13","t__myc","a__ecm","k__Fungi","p__ Basidiomycota","c__ Agaricomycetes","o__ Sebacinales","f__ Sebacinaceae","g__ Sebacina","s__"
"OTU24","t__myc","a__ecm","k__Fungi","p__ Basidiomycota","c__ Agaricomycetes","o__ Thelephorales","f__ Thelephoraceae","g__","s__"
"OTU26","t__myc","a__ecm","k__Fungi","p__ Basidiomycota","c__ Agaricomycetes","o__ Sebacinales","f__ Sebacinaceae","g__ Sebacina","s__"
"OTU37","t__myc","a__ecm","k__Fungi","p__ Basidiomycota","c__ Agaricomycetes","o__ Agaricales","f__ Inocybaceae","g__ Inocybe","s__"
"OTU48","t__myc","a__ecm","k__Fungi","p__ Basidiomycota","c__ Agaricomycetes","o__ Russulales","f__ Russulaceae","g__ Russula","s__"
"OTU49","t__myc","a__ecm","k__Fungi","p__ Basidiomycota","c__ Agaricomycetes","o__ Agaricales","f__ Cortinariaceae","g__ Inocybe","s__"
"OTU58","t__myc","a__ecm","k__Fungi","p__ Ascomycota","c__ Pezizomycetes","o__ Pezizales","f__ Tuberaceae","g__ Tuber","s__"
"OTU61","t__myc","a__ecm","k__Fungi","p__ Basidiomycota","c__ Agaricomycetes","o__ Agaricales","f__ Tricholomataceae","g__ Tricholoma","s__ Tricholoma squarrulosum"
"OTU67","t__myc","a__ecm","k__Fungi","p__ Basidiomycota","c__ Agaricomycetes","o__ Agaricales","f__","g__","s__"
"OTU68","t__myc","a__ecm","k__Fungi","p__ Ascomycota","c__ Dothideomycetes","o__ Mytilinidales","f__ Gloniaceae","g__ Cenococcum","s__ Cenococcum geophilum"
